Experiment,Time,IFNbm,IFNb,IRF7m,SOCSm,TREX1m,IRF3c,Stingc
1,0,-,-,-,-,-,-,140.7404
1,0.3333,-,-,-,-,-,-,140.7404
1,0.3833,-,-,-,-,-,-,139.4512
1,0.4333,-,-,-,-,-,-,144.2507
1,0.4833,-,-,-,-,-,-,144.7085
1,0.5333,-,-,-,-,-,-,140.768
1,0.5833,-,-,-,-,-,-,139.51
1,0.6333,-,-,-,-,-,-,144.7314
1,0.6833,-,-,-,-,-,-,157.4013
1,0.7333,-,-,-,-,-,-,159.0461
1,0.7833,-,-,-,-,-,-,169.5973
1,0.8333,-,-,-,-,-,-,178.9573
1,0.8833,-,-,-,-,-,-,184.5408
1,0.9333,-,-,-,-,-,-,192.2468
1,0.9833,-,-,-,-,-,-,190.3314
1,1.0333,-,-,-,-,-,-,194.0208
1,1.0833,-,-,-,-,-,-,195.3914
1,1.1333,-,-,-,-,-,-,195.6458
1,1.1833,-,-,-,-,-,-,199.1851
1,1.2333,-,-,-,-,-,-,202.1762
1,1.2833,-,-,-,-,-,-,202.932
1,1.3333,-,-,-,-,-,-,202.4821
1,1.3833,-,-,-,-,-,-,198.2992
1,1.4333,-,-,-,-,-,-,195.1345
1,1.4833,-,-,-,-,-,-,197.5137
1,1.5333,-,-,-,-,-,-,198.2951
1,1.5833,-,-,-,-,-,-,193.8506
1,1.6333,-,-,-,-,-,-,188.107
1,1.6833,-,-,-,-,-,-,178.0342
1,1.7333,-,-,-,-,-,-,175.5681
1,1.7833,-,-,-,-,-,-,159.31
2,0,1.1628,-,-,-,-,-,-
2,2.0332,9.5349,-,-,-,-,-,-
2,4.0379,31.1628,-,-,-,-,-,-
2,6,53.9535,-,-,-,-,-,-
2,7.0095,63.2558,-,-,-,-,-,-
2,9.0142,81.6279,-,-,-,-,-,-
3,0,0,-,-,-,-,-,-
3,1.5075,1.7124,-,-,-,-,-,-
3,3.2328,4.1018,-,-,-,-,-,-
3,4.9246,15.1726,-,-,-,-,-,-
3,8.325,7.5265,-,-,-,-,-,-
4,0,0,-,-,-,-,-,-
4,1.5075,1.6726,-,-,-,-,-,-
4,3.2328,5.8938,-,-,-,-,-,-
4,4.9079,11.6283,-,-,-,-,-,-
4,8.325,5.0973,-,-,-,-,-,-
5,0,-,1.3423,-,-,-,-,-
5,5.9481,-,16.3087,-,-,-,-,-
5,23.9308,-,5.1007,-,-,-,-,-
5,48,-,3.1544,-,-,-,-,-
6,0,-,-,-,-,-,5.687,-
6,3,-,-,-,-,-,26.199,-
6,6,-,-,-,-,-,22.166,-
7,0,-,-,-,0.9286,-,-,-
7,0.5,-,-,-,2.3214,-,-,-
7,1,-,-,-,1.75,-,-,-
7,2,-,-,-,6.4286,-,-,-
7,4,-,-,-,6.5357,-,-,-
7,8,-,-,-,6,-,-,-
7,12,-,-,-,8.1786,-,-,-
7,24,-,-,-,5.1429,-,-,-
7,48,-,-,-,2.1429,-,-,-
8,0,-,-,-,-,-,4.043,-
8,2,-,-,-,-,-,22.597,-
8,4,-,-,-,-,-,32.773,-
8,6,-,-,-,-,-,19.557,-
8,8,-,-,-,-,-,13.123,-
8,12,-,-,-,-,-,5.94,-
8,24,-,-,-,-,-,1.967,-
9,0,-,-,-,-,-,11.548,-
9,3,-,-,-,-,-,58.582,-
9,6,-,-,-,-,-,29.87,-
10,0,-,-,-,-,-,-,2.475
10,1,-,-,-,-,-,-,10.623
10,2,-,-,-,-,-,-,14.112
10,4,-,-,-,-,-,-,19.603
10,6,-,-,-,-,-,-,18.412
10,8,-,-,-,-,-,-,13.112
10,10,-,-,-,-,-,-,12.033
10,12,-,-,-,-,-,-,9.629
11,0,-,-,-,-,-,0.92,-
11,1,-,-,-,-,-,4.446,-
11,2,-,-,-,-,-,6.061,-
11,4,-,-,-,-,-,17.69,-
11,6,-,-,-,-,-,21.035,-
11,8,-,-,-,-,-,22.128,-
11,10,-,-,-,-,-,16.68,-
11,12,-,-,-,-,-,11.04,-
12,0,-,-,0.136,-,-,-,-
12,2,-,-,3.398,-,-,-,-
12,4,-,-,6.947,-,-,-,-
12,8,-,-,17.464,-,-,-,-
12,10,-,-,29.333,-,-,-,-
12,12,-,-,22.722,-,-,-,-
12,16,-,-,20,-,-,-,-
13,0,-,-,7.145,-,-,-,-
13,2,-,-,5.257,-,-,-,-
13,4,-,-,14.362,-,-,-,-
13,8,-,-,8.162,-,-,-,-
13,16,-,-,22.528,-,-,-,-
13,24,-,-,42.546,-,-,-,-
14,0,0,-,-,-,-,-,-
14,4.676923077,5014.409222,-,-,-,-,-,-
14,8.041025641,5590.778098,-,-,-,-,-,-
14,11.2,1383.285303,-,-,-,-,-,-
14,14.44102564,28.8184438,-,-,-,-,-,-
15,0,-,-,-,-,1.5707,-,-
15,2,-,-,-,-,2.0942,-,-
15,4,-,-,-,-,7.3298,-,-
15,8,-,-,-,-,23.0366,-,-
15,24,-,-,-,-,86.911,-,-
